,University Name,Field,City,Region,Major,Lowest Score,Highest Score,Ranking,YEAR
114,AFYON KOCATEPE UNIVERSITY,SOZ,AFYON,Aegean Region,"
Islamic Sciences",334.07046,401.4188,177000,2015
115,AFYON KOCATEPE UNIVERSITY,SAY,AFYON,Aegean Region,"
Mechatronic Engineering",276.34291,323.76666,140000,2015
116,AFYON KOCATEPE UNIVERSITY,SAY,AFYON,Aegean Region,"
Molecular Biology and Genetics",266.38069,298.35723,162000,2015
117,AFYON KOCATEPE UNIVERSITY,SAY,AFYON,Aegean Region,"
Nutrition and Dietetics",415.56076,436.07076,42600,2015
118,AFYON KOCATEPE UNIVERSITY,SAY,AFYON,Aegean Region,"
Physical Therapy and Rehabilitation",433.42633,451.47234,30200,2015
119,AFYON KOCATEPE UNIVERSITY,SOZ,AFYON,Aegean Region,Cinema and Television,316.62387,366.13085,105000,2015
120,AFYON KOCATEPE UNIVERSITY,SOZ,AFYON,Aegean Region,Contemporary Turkish Dialects and Literatures,309.17675,337.51013,138000,2015
121,AFYON KOCATEPE UNIVERSITY,SAY,AFYON,Aegean Region,Electrical and Electronics Engineering,201.78934,260.28321,133000,2015
122,AFYON KOCATEPE UNIVERSITY,EA,AFYON,Aegean Region,Finance,267.61034,308.17665,241000,2015
123,AFYON KOCATEPE UNIVERSITY,SOZ,AFYON,Aegean Region,Gastronomy and Kitchen Arts,344.57908,398.37754,56700,2015
124,AFYON KOCATEPE UNIVERSITY,EA,AFYON,Aegean Region,Health Management,291.80355,332.44916,301000,2015
125,AFYON KOCATEPE UNIVERSITY,SOZ,AFYON,Aegean Region,History,309.00377,370.92239,138000,2015
126,AFYON KOCATEPE UNIVERSITY,EA,AFYON,Aegean Region,Law,396.97007,414.39622,25500,2015
127,AFYON KOCATEPE UNIVERSITY,SAY,AFYON,Aegean Region,Map Engineering,276.99979,309.44224,139000,2015
128,AFYON KOCATEPE UNIVERSITY,SAY,AFYON,Aegean Region,Math,228.53344,283.28026,240000,2015
129,AFYON KOCATEPE UNIVERSITY,SAY,AFYON,Aegean Region,Mechanical Engineering,271.01909,318.95994,148000,2015
130,AFYON KOCATEPE UNIVERSITY,SAY,AFYON,Aegean Region,Medicine,448.72334,464.80767,12800,2015
131,AFYON KOCATEPE UNIVERSITY,SAY,AFYON,Aegean Region,Metallurgy and Materials Engineering,234.86606,429.29964,218000,2015
132,AFYON KOCATEPE UNIVERSITY,SAY,AFYON,Aegean Region,Nursing,327.96979,379.8018,137000,2015
133,AFYON KOCATEPE UNIVERSITY,SOZ,AFYON,Aegean Region,Pre-school Teaching,345.05539,406.23138,145000,2015
134,AFYON KOCATEPE UNIVERSITY,SAY,AFYON,Aegean Region,Primary School Math Teaching,344.91649,394.63057,68500,2015
135,AFYON KOCATEPE UNIVERSITY,SOZ,AFYON,Aegean Region,Social Science Teaching,337.51706,364.66926,66900,2015
136,AFYON KOCATEPE UNIVERSITY,EA,AFYON,Aegean Region,Sociology,298.68695,343.06871,193000,2015
137,AFYON KOCATEPE UNIVERSITY,EA,AFYON,Aegean Region,Teaching,332.69428,378.75216,97000,2015
138,AFYON KOCATEPE UNIVERSITY,DIL,AFYON,Aegean Region,Tourism Guidance,225.24697,278.65264,35300,2015
139,AFYON KOCATEPE UNIVERSITY,SOZ,AFYON,Aegean Region,Turkish Language and Literature,339.21221,390.53652,76200,2015
140,AFYON KOCATEPE UNIVERSITY,SOZ,AFYON,Aegean Region,Turkish Teaching,383.73628,425.95912,25300,2015
